[2022-05-04 23:01:44,307] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:01:44,308] - logger.py] - INFO: 验证用户名错误请求失败成功
[2022-05-04 23:01:44,308] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:01:44,308] - logger.py] - INFO: ----------
[2022-05-04 23:02:01,389] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:02:01,390] - logger.py] - INFO: 用例标题：验证登录接口请求成功
[2022-05-04 23:02:01,425] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:02:01,425] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:02:01,426] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:02:01,426] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:02:01,426] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 23:02:01,427] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:02:01,427] - logger.py] - INFO: ----------
[2022-05-04 23:02:01,427] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:02:01,428] - logger.py] - INFO: 用例标题：验证用户名错误请求失败
[2022-05-04 23:02:01,440] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:02:01,441] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:02:01,441] - logger.py] - WARNING: 请求失败，请手动检查接口
[2022-05-04 23:02:01,442] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:02:01,442] - logger.py] - INFO: ----------
[2022-05-04 23:04:13,805] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:04:13,805] - logger.py] - INFO: 用例标题：验证登录接口请求成功
[2022-05-04 23:04:13,846] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:04:13,846] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:04:13,847] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:04:13,847] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:04:13,847] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 23:04:13,847] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:04:13,848] - logger.py] - INFO: ----------
